Data,nome_drs,pop,total_uti
19/05/2020,Grande_SP_Leste,29.77781,329.14
19/05/2020,Grande_SP_Norte,6.03465,58.14
19/05/2020,Grande_SP_Oeste,18.58252,211.14
19/05/2020,Grande_SP_Sudeste,26.9059,536.57
19/05/2020,Grande_SP_Sudoeste,11.38499,98.86
19/05/2020,DRS_02_Araçatuba,7.64041,46.71
19/05/2020,DRS_03_Araraquara,9.91435,76.43
19/05/2020,DRS_04_Baixada_Santista,18.31884,274.57
19/05/2020,DRS_05_Barretos,4.2509,55
19/05/2020,DRS_06_Bauru,17.41281,118.14
19/05/2020,DRS_07_Campinas,45.62125,572.71
19/05/2020,DRS_08_Franca,6.96336,31.43
19/05/2020,DRS_09_Marília,11.0967,100.71
19/05/2020,DRS_10_Piracicaba,15.396,114.86
19/05/2020,DRS_11_Presidente_Prudente,7.5226,42.57
19/05/2020,DRS_12_Registro,2.78754,22
19/05/2020,DRS_13_Ribeirão_Preto,14.7753,116
19/05/2020,DRS_14_São_João_da_Boa_Vista,8.09836,79
19/05/2020,DRS_15_São_José_do_Rio_Preto,15.70421,199.43
19/05/2020,DRS_16_Sorocaba,24.6176,164.71
19/05/2020,DRS_17_Taubaté,24.89629,207.29
14/07/2020,Grande_SP_Leste,29.77781,460.29
14/07/2020,Grande_SP_Norte,6.03465,120
14/07/2020,Grande_SP_Oeste,18.58252,353.71
14/07/2020,Grande_SP_Sudeste,26.9059,837.43
14/07/2020,Grande_SP_Sudoeste,11.38499,117.14
14/07/2020,DRS_02_Araçatuba,7.64041,100.29
14/07/2020,DRS_03_Araraquara,9.91435,96.14
14/07/2020,DRS_04_Baixada_Santista,18.31884,481.14
14/07/2020,DRS_05_Barretos,4.2509,72
14/07/2020,DRS_06_Bauru,17.41281,185
14/07/2020,DRS_07_Campinas,45.62125,855.86
14/07/2020,DRS_08_Franca,6.96336,53.86
14/07/2020,DRS_09_Marília,11.0967,122.29
14/07/2020,DRS_10_Piracicaba,15.396,212.14
14/07/2020,DRS_11_Presidente_Prudente,7.5226,65.29
14/07/2020,DRS_12_Registro,2.78754,29
14/07/2020,DRS_13_Ribeirão_Preto,14.7753,238.29
14/07/2020,DRS_14_São_João_da_Boa_Vista,8.09836,110
14/07/2020,DRS_15_São_José_do_Rio_Preto,15.70421,273
14/07/2020,DRS_16_Sorocaba,24.6176,243
14/07/2020,DRS_17_Taubaté,24.89629,377.14
